@relation whatever-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute m_out numeric
@attribute income_per_person numeric
@attribute year numeric
@attribute m_in numeric

@data
497723960.589913,60.4,28.519241,661076,6874,2315,1995,93804
224037033.0804,72.8,95.156,71367,44572,7148,1995,2704
16358496124.031,72.6,163.336507,7892420,657307,6188,1995,322076
?,61.8,57.595091,856439,74933,1477,1995,8570
24432884442.2211,72.3,41.325589,11440576,317003,7811,1995,100213
60159245060.4542,67.4,62.719903,62434527,1488642,6553,1995,157862
9500500000,70,269.726979,5588743,901665,5589,1995,39351
141853368.256815,48.5,15.983316,448332,41617,1803,1995,2934
578015625,57.8,31.327673,3164095,323232,1438,1995,11030
4373658536.58537,67.7,33.89087,1433076,129364,10464,1995,315177
7663984567.90123,49.2,57.237226,57237226,816184,578,1995,765390
?,?,31.589542,44099,9994,?,1995,2799
222103600,65.4,153.651429,107556,11986,3185,1995,112634
1970347720.96992,64.5,42.446524,775498,106042,6073,1995,11396
134199346405.229,76.7,16.769395,5108176,288348,27303,1995,97820
1609892232882.11,78.2,108.73922,58224051,1324864,30823,1995,6087993
3982374845.92709,70.43,58.797814,215200,3431,?,1995,24611
4958845906.34769,59.8,4.216436,1086449,16462,19738,1995,148958
2693731865.97036,70.7,82.823052,5067143,953815,2298,1995,272021
2591620035485.19,76.6,233.967491,81612900,3263505,33843,1995,7130259
6465137614.6789,60,73.661734,16760991,427516,2066,1995,241780
?,?,2728.5,27285,9688,?,1995,7115
136878366230.328,77.8,81.940675,10641169,1012687,21426,1995,857850
1208953358.99709,66.5,0.163301,55809,11406,17117,1995,7235
276296296.296296,70.7,294.861765,100253,53217,7522,1995,3570
?,73,269.559259,145562,2033,?,1995,69255
14656917900.1721,66.9,96.653173,10357354,445417,5836,1995,156124
3693753379.05992,53.4,31.999972,7863033,365354,1049,1995,772910
253966919.939838,52.3,41.994203,1180877,67054,1632,1995,26883
621626785.915493,64.4,3.691618,726695,290051,4533,1995,5631
2813320255.29799,56.2,283.737518,7819806,652648,1672,1995,20863
3911053180.39625,70.1,49.969935,5591136,240135,3344,1995,149299
