@relation 'whatever-weka.filters.unsupervised.attribute.Remove-R5,7-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute income_per_person numeric
@attribute m_in numeric

@data
76928290841.8701,77.52,5762.121212,5794034,26974,2000265
238284727566.4374,69.5,115.43327,10385061,16930,336699
6521544489.20626,78.3,2.541905,254830,28666,9584
326608014285.316,58.2,292.817404,870601776,1777,7362652
114426498045.009,64,100.154463,181436821,4548,374951
124813270133.97,66,34.490311,56169196,9511,4290497
179885815374.719,65.7,39.962629,17478455,11212,63698
238284727566.4374,68.818541,123.354386,70312,15691.875833,33140
52490325640.2953,76.7,215.341959,4499161,17152,1489650
1177326298642.53,77,192.85043,57007577,30746,1428219
10795850584.5874,55.3,38.257575,12165909,3234,1794958
4592208207.63945,74.8,220.683287,2385806,7391,18126
3103698099973.41,79,338.828854,122249285,29550,1065694
4159928704.0162,71.5,38.060437,3358453,7057,1144334
26932728898.8146,68,6.055488,16530027,12729,3619200
8572359162.86876,61.8,41.19589,23446229,2376,196730
28413863.08641,58,89.396296,72411,1453,1691
18427778571.0531,77.2,115.534905,2058832,37521,1048104
2674000000,66,22.894682,4394502,3475,608720
865559856.1639,51.5,18.404848,4247839,1622,22074
238284727566.4374,69.6,42.818686,2663985,13383,646007
2838485397.82897,69.3,264.224731,2703019,7734,520116
544583156.185985,60.5,52.619697,1597534,1301,4469
384400000,48.6,21.832195,2102877,503,74599
28904898117.7385,73.4,2.499755,4398419,26928,457075
1421508875.2782,68.818541,179.65625,28745,15691.875833,10877
238284727566.4374,71.5,58.995501,3697393,17041,335946
13361108522.4529,75.2,382.114859,381787,56922,113439
2990180515.91709,75.36,17986.75,359735,36984,191386
3081479800.28735,56,19.853805,11545782,1661,17503
1880784191.81484,48.8,99.798451,9408998,540,1096822
44024177914.6074,71.8,55.428693,18211097,10159,609304
215089005.235602,66,726.666667,223179,4363,8435
2681912149.14767,50,6.951438,8482075,1100,142919
2547330284.04418,77.1,1106.78125,355707,16596,14979
78476000,64.6,382.114859,47300,2950,1022
1019600770.6038,59.5,1.963389,2023665,2800,110227
2653485952.13319,69.3,521.564039,1055865,7568,3246
262709785592.711,71.5,44.038892,85609404,12479,693754
3592856080.02915,68.2,128.749086,4364114,6440,527124
2481316053.85316,68.818541,14719,29438,43173,11565
2560785660,62.3,1.405897,2184145,5122,6043
238284727566.4374,74.6,45.08342,614999,16136,0
30179962098.142,67.7,55.904387,24950128,3901,43973
2512109516.61781,51.5,17.004465,13371971,462,58963
238284727566.4374,57.6,64.276569,42007309,1775,120047
2804357081.08613,61.7,1.719257,1415447,5717,117404
238284727566.4374,68.818541,457.85,9157,30647,2598
3627559252.20577,58.4,131.060755,18741688,1240,411030
314267667675.178,77,442.876481,14915139,32534,1180236
2529310103.83608,70.7,9.348961,168537,15691.875833,35367
45495727006.5141,75.6,12.645931,3397534,24021,499649
1009455476.10732,73.3,34.440452,4144564,3025,40112
2480673304.74309,47.2,6.24606,7911884,924,105305
30757075595.3681,54.1,104.985172,95617345,3030,299556
238284727566.4374,68.9,167.713263,20194354,2076,31012
238284727566.4374,68.818541,382.114859,43972,15691.875833,25498
119791683307.507,76.6,11.612679,4240375,43296,186730
11685045607.8469,72.1,5.855118,1812159,35076,299352
40010425585.0861,62.1,139.590648,107607639,2961,6203799
76888000,68.818541,382.114859,15089,16913,2695
5625703300,74.9,33.239306,2471010,7463,62485
3219730365,56,9.181431,4157903,1607,31057
5695201563.42495,74.2,10.60594,4213740,5985,189434
25710059622.0643,68.7,17.052077,21826658,5280,63987
44311595229.859,67.6,207.75846,61947340,4010,128466
64712371654.1385,70.9,124.427118,38195258,10088,1073550
78721607509.4923,74.2,109.106208,9890319,20282,431537
30603919000,73.8,398.759865,3517984,25275,312915
7360439210.95034,74.5,41.04031,476478,73402,305265
49361026051.8432,76.3,51.008477,3563106,22468,227961
4471828621.90813,71.7,78.498899,1996227,9563,93617
2798746050.58236,54.5,6.98819,34962676,1270,121479
38299106119.9263,70,101.16344,23489361,11449,126763
516814258695.568,69.2,9.04774,147568552,19349,11516298
2550185692.53721,50.5,294.274017,7259740,856,139650
208740440.757955,68.818541,157.05,40833,14258,1521
397192585.577919,70.2,226.52459,138180,7979,3473
240365255.014256,69.7,275.664103,107509,5726,3718
125766270.897892,69.1,57.54947,162865,3649,3124
238284727566.4374,68.818541,400.75,24045,34215,3203
238284727566.4374,63.4,118.307292,113575,2254,5483
116778104138.852,73.9,7.611076,16361453,35681,4830679
5716644524.96413,57.8,39.028728,7514201,1856,234420
238284727566.4374,72.5,86.736794,9517670,14457,99189
368584758.942457,69.1,152.173913,70627,14116,2947
649644826.800447,51.6,54.463951,3931208,1334,221192
36152800270.0498,74.9,4547.958209,3016400,34316,445694
12694544692.7374,71,110.170208,5277709,14366,41183
238284727566.4374,73.7,99.213555,2006520,19147,178032
302515026.890225,60.1,11.141443,311849,1793,3925
238284727566.4374,48.8,10.076856,6321615,930,460000
112014836393.151,62,29.016808,36793490,10364,1057863
284757121057.986,71.8,444.425492,42972254,12087,40921
238284727566.4374,50.9,382.114859,5762190,2013,0
535101248775.71,76.9,77.787993,39192055,24126,817573
8032551173.24014,70.5,272.332961,17330817,3340,39935
238284727566.4374,68.818541,552.132353,24970,15691.875833,0
12408647780.4484,58.9,10.846378,20008804,1753,1369612
388300000,69.7,2.617154,408276,10625,10581
1114694112.47478,60.7,50.158605,862728,4844,67820
258154283908.9,77.6,20.857911,8559107,30901,720175
257420293190.325,77.5,169.888411,6673920,46600,1162183
12308624283.9787,70.5,67.752416,12451539,3809,248732
2629395066.27017,65.3,37.848571,5297286,3635,428236
4258742898.93795,55.2,28.740357,25458208,1471,569603
85343189320.7519,71,110.753438,56582824,6369,528671
3166000000,68.5,25.608192,256338,24281,25319
317083373.524559,61.3,90.593972,916811,1517,114683
1628427587.46411,57.8,69.625703,3786942,1350,74051
113563821.577404,69.1,132.155556,95152,3572,820
5068000000,69.1,238.187914,1221904,13464,46645
12290568181.8182,71.8,52.487127,8232797,5502,32025
150676291094.21,68.1,70.156575,53994605,10670,979704
3189539641.3171,63.9,7.805418,3668000,8353,304375
238284727566.4374,68.818541,12.157895,11550,10751,4481
8824746.238132,68.818541,300.133333,9004,2369,239
1564700032,74.73,297.037143,103253,15691.875833,44012
4304399516.07681,50.7,87.004499,17384369,767,536580
81456918678.5008,70,89.569345,51370009,10490,6481438
50701443695.6113,70.6,21.668158,1811458,114832,1287556
1093169389204.55,75.7,236.628719,57110117,26424,3641645
5979589000000,75.4,27.254514,252847810,37062,20315256
9298839655.23138,73,17.769324,3109987,9841,91866
13360607990.6751,67.8,48.213446,20515248,3032,1577433
158397406.344715,61.9,12.028958,146633,2550,1565
47027508385.03,72.5,22.517951,19861959,14539,1024726
6471740486.31946,69.3,202.822514,68209604,1501,27398
5647251908.39695,58.5,22.654884,11961099,3441,90251
3288381797.32415,51.9,10.954064,8143142,2407,269896
8783816700,63,27.102937,10484771,2532,598946
238284727566.4374,49.4,25.69084,16772522,872,55794
2424499009.14264,73.7,116.342482,3106727,3941,63452
41764052457.8814,71.6,12.135791,28904300,9168,250204
238284727566.4374,70.6,264.37,52874,15691.875833,22301
1178745314.32635,82.6,135.859574,63854,26143,39688
4967585281.89541,50.9,10.461752,13042666,2859,33126
494185185.185185,73.5,155.338636,68349,17167,16990
258031750000,73.5,12.787279,34994818,10673,1512538
1468317350.02343,69.1,113.212961,3223173,2169,654786
1320670391.06145,73.62,446.255556,80326,38602,19002
367949212949.213,78.3,2.35242,18124770,30359,4125550
240457622492.152,76.8,96.249431,7972833,33480,894893
3052467522.36104,64.6,92.348919,7770806,3320,340965
5849467819.14894,73,793.985915,563730,43244,201392
37939748051.3878,61.6,909.793101,118427768,1424,708325
2262218367.84335,73.3,616.190698,264962,12587,20140
13972637603.2102,68.2,50.25636,10159731,5275,1186020
289567597153.804,76.9,382.114859,10161914,32774,869676
620140400,70.5,9.073301,206962,6209,32317
2169627250.93379,56.7,53.083168,5985658,1398,88638
